序号,位号,器件名称,封装,数量,LCSC编号,备注
1,USB1,TYPE-C 2P(073),TYPE-C-SMD_TYPE-C-6P,1,C2919656,USB 5V供电输入
2,U1,MT3608 升压IC,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,C84817,贴片 升压电源
3,L1,10uH 功率电感,IND-SMD_L5.2-W5.1,1,C167223,贴片
4,D1,SS34 肖特基二极管,DO-214AC_L4.3-W2.7-LS5.3-RD,1,C8678,贴片 升压输出整流
5,C1  C3,22uF 贴片电容,C1206,2,C12891,贴片 升压输入/输出滤波
6,C2  C4,1uF 贴片电容,C0805,2,C15849,贴片 旁路电容
7,C7,22pF 贴片电容,C0805,1,C91701,贴片 补偿
8,R1,140K 贴片电阻,R0603,1,C2933144,贴片 升压反馈
9,R2,10K 贴片电阻,R0805,1,C17414,贴片
10,R3,100K 贴片电阻,R0805,1,C25803,贴片 使能上拉
11,U1,NE555N 时基IC,DIP-8_L9.8-W6.6-P2.54-LS7.6-BL,1,C398063,直插 38kHz振荡器
12,U2,LM324N 四运放,DIP-14_L19.4-W6.4-P2.54-LS7.6-BL,1,C725320,直插 信号放大/比较
13,U3,MHL312IR039CRT 红外发射管,LED-TH_BD4.2-P2.54-FD,1,C405274,直插 38kHz红外发射
14,LED1,MHL324PT03BRT 红外接收管,LED-TH_BD3.9-P2.54-L-FD,1,C405260,直插 红外接收 与U3配套
15,LED2,XL-502SURD 红色LED,LED-TH_BD5.9-P2.54-RD_RED,1,C2895492,直插 距离指示灯(中)
16,LED3,333-2SURD/S530-A3 红色LED,LED-TH_BD5.0_RED,1,C2895494,直插 距离指示灯(近)
17,U4  U5,XL-502UGD 绿色LED,LED-TH_BD5.9-P2.54-RD_GREEN,2,C2895548,直插 距离指示灯(远)+电源
18,D1  D2,1N4148 开关二极管,DO-35_BD2.0-L4.2-P8.20-D0.5-RD,2,C402212,直插 倍压检波
19,C1  C6,1uF 电解电容,CAP-TH_BD4.0-P1.50-D0.8-FD,2,C2760,直插 振荡定时/耦合
20,C2,100nF 独石电容,CAP-TH_L5.8-W3.6-P5.0-D0.6,1,C5632426,直插 检波滤波
21,C3  C7,47uF 电解电容,CAP-TH_BD4.0-P2.00-D0.5-FD,2,C2760861,直插 电源滤波
22,C4,22pF 瓷片电容,CAP-TH_L5.0-W2.5-P5.08-D0.7,1,C263190,直插 运放补偿
23,C5,10uF 电解电容,CAP-TH_BD5.0-P2.00-D0.8-FD,1,C503219,直插 隔直耦合
24,R1  R2  R3  R10  R11  R12  R13  R14,1kΩ 碳膜电阻,RES-TH_BD2.3-L6.5-P10.50-D0.5,8,C713997,直插 LED限流/偏置
25,R4,30kΩ 碳膜电阻,RES-TH_BD2.3-L6.5-P10.50-D0.5,1,C129921,直插 555定时
26,R5  R6  R7  R20,10kΩ 碳膜电阻,RES-TH_BD2.7-L6.2-P10.20-D0.4,4,C2903266,直插 分压/偏置
27,R8,47kΩ 碳膜电阻,RES-TH_BD2.7-L6.2-P10.20-D0.4,1,C2857423,直插 电位器串联
28,R9,50kΩ 3296W 电位器,RES-ADJ-TH_3P-L9.5-W4.85-P2.50-BL-BS,1,C118911,直插 灵敏度调节
29,R15,1.5kΩ 碳膜电阻,RES-TH_BD2.7-L6.2-P10.20-D0.4,1,C2894662,直插 IR接收偏置
30,R16,20kΩ 3296W 电位器,RES-ADJ-TH_3P-L10.0-W10.0-P2.50-BL-BS,1,C118936,直插 运放增益调节
31,R17  R18  R19,200Ω 碳膜电阻,RES-TH_BD2.7-L6.2-P10.20-D0.4,3,C2894669,直插 LED限流
